Price,Address,Listing URL,Short Address,Zip,City,County,State,Beds,Baths,Footage,Raw Property Details,Price Per Sq. Ft.,Date Scraped,Latitude,Longitude,Broker Name,Status,Type,Lot Area,Lot Area Units,Raw Rent Details,Lowest Rent,Highest Rent,Rent Zestimate,Zestimate,Tax Assessed Value (Most Recent),Date Price Last Changed,Price Change,Currency,Last Date Sold,Last Date Sold Price,Most Recent Date Listed for Sale,Most Recent Price Listed for Sale,Days on the Market (For Sale),Days on Zillow,MLS Id,Premium Status,Broker Phone (Premium Data),Listed By (Premium Data),Lister Phone (Premium Data),Agent Name (Premium Data),Agent Phone (Premium Data),Agent Email (Premium Data),Co-Agent Name (Premium Data),Co-Agent Phone (Premium Data),Buyer Agent Fee (Premium Data),Buyer Agent Name (Premium Data),Association Name (Premium Data),Association Fee (Premium Data),Monthly HOA Fees (Premium Data),Year Built (Premium Data),Stories (Premium Data),Heating (Premium Data),Cooling (Premium Data),Fireplace (Premium Data),Flooring (Premium Data),Foundation (Premium Data),Garage Capacity (Premium Data),Sewer (Premium Data),Subdivision (Premium Data),Property Condition (Premium Data),Roof Type (Premium Data),Virtual Tour (Premium Data),MLS Source (Premium Data),Parcel Id (Premium Data),Favorite Count (Premium Data),Page Views (Premium Data),Tax Paid (Most Recent) (Premium Data),Has Private Pool (Premium Data),Pool Features (Premium Data),Elementary School Rating (Premium Data),Middle School Rating (Premium Data),High School Rating (Premium Data),Transit Score (Premium Data),Walk Score (Premium Data),Bike Score (Premium Data),Description (Premium Data)
"$6,785","325 Octavia St, San Francisco, CA 94102 - B3D_1110","https://www.zillow.com/rental-manager/price-my-rental/results/325-octavia-st_-san-francisco_-ca-94102/","325 Octavia St","94102","San Francisco","San Francisco County","CA",2,2,1107,"Deposits and Fees: 750, Additional Information: 24-hour emergency maintenance Barbecue Bike and car rental for residents Complimentary WiFi in common areas Complimentary package acceptance service Fitness On Demand Garbage included in rent In the heart of the city On site restaurant On site secured bike parking Outdoor flat screen TVs Professionally landscaped courtyards Smoke Free TV Lounge View Type: Rooftop terraces with skyline views WAG pet wash","","Thu, 2026-05-07","37.774963","-122.42512","","","Unit","","","$6,440+ 2 bds",6785,6785,"","","","","","$","","","","","","","","Elite-tier data preview","","Avalon Hayes Valley","(415) 798-2047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","3","100","99","79","Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes.

Avalon Hayes Valley offers studio, 1, and 2 bedroom apartments and townhomes. Convenient to the BART, MUNI, and the 101/I-80 freeway ramp, these San Francisco apartments feature gourmet kitchens with stainless steel appliances and granite countertops, spacious walk-in closets, and in-unit washer and dryer. Upgrade any home to Furnished+ and enjoy the convenience of turnkey living. Community amenities include a fitness center and beautifully landscaped rooftop terraces with outdoor seating and BBQs. Avalon Hayes Valley is located in the heart of the San Francisco; convenient to downtown, Civic Center, the Mission, SOMA and the Castro."
"$6,995","1349 Minna St, San Francisco, CA 94103","https://www.zillow.com/homedetails/1349-Minna-St-San-Francisco-CA-94103/124864391_zpid/","1349 Minna St","94103","San Francisco","San Francisco County","CA","3","2","0","3 bds | 2 ba ","","Thu, 2026-05-07","37.76754","-122.41905","","FOR_RENT","APARTMENT","","","","","","$4,909","$1,073,000","$874,000","","","$","Tue, 2019-06-18","$1,375,000","Thu, 2026-03-12","$1,185,000","","2 hours","","Elite-tier data preview","","Joseph Johnston (Listed by brokerage)","","Joseph Johnston","","","","","","","","","","","","","","","","","","","","","","https://youtu.be/HhxF22FxdNo","Zillow Rentals","3548168","","","$11,144","","","3","3","2","99","99","100","Mission | 2 Bedroom + Office | Laundry | 2 Car Parking
Recently renovated two-bedroom + office condo in San Francisco s Mission District. Conveniently located on a quiet one-way street with easy access to some of the city s best dining, shops, and nightlife.

The home features a modern kitchen with all-new appliances, including an induction cooktop and wine fridge, along with hardwood floors and high ceilings throughout. Additional highlights include remodeled bathrooms, a bright living room with bay windows, and generous storage.

The well-maintained building offers shared outdoor space and a strong sense of community. Garage parking for two cars plus additional storage available.

Key Features: 
- Two Large Bedrooms
- Office or Guest Room
- 1.5 Split Bathroom
- Recently Renovated
- Hardwood Floors
- High Ceilings
- Remodeled Kitchen
- Kitchen Dining Space
- Premium Stainless Steel Appliances
-- Induction Cooktop
-- Dishwasher
-- Refrigerator
-- Wine Fridge
- Renovated Bathrooms
-- Towel Warmer
- Bright Bay WindowsShow more"
"$10,995","924 Florida St, San Francisco, CA 94110","https://www.zillow.com/homedetails/924-Florida-St-San-Francisco-CA-94110/15151160_zpid/","924 Florida St","94110","San Francisco","","CA","4","3","2450","4 bds | 3 ba | 2450 sqft","$4.49","Thu, 2026-05-07","37.75703","-122.41075","","FOR_RENT","SINGLE_FAMILY","","","","","","$7,584","$2,424,400","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$19,995","3900 21st St, San Francisco, CA 94114","https://www.zillow.com/homedetails/3900-21st-St-San-Francisco-CA-94114/15130458_zpid/","3900 21st St","94114","San Francisco","","CA","3","2","2000","3 bds | 2 ba | 2000 sqft","$10","Thu, 2026-05-07","37.756207","-122.43491","","FOR_RENT","SINGLE_FAMILY","","","","","","$7,892","$2,716,800","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$7,750","(undisclosed Address), San Francisco, CA 94112","https://www.zillow.com/homedetails/San-Francisco-CA-94112/442344600_zpid/","(undisclosed Address)","94112","San Francisco","","CA","2","2","","2 bds | 2 ba ","","Thu, 2026-05-07","","","","FOR_RENT","APARTMENT","","","","","","$3,504","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$16,500","(undisclosed Address), San Francisco, CA 94117","https://www.zillow.com/homedetails/San-Francisco-CA-94117/442344532_zpid/","(undisclosed Address)","94117","San Francisco","","CA","3","3","","3 bds | 3 ba ","","Thu, 2026-05-07","","","","FOR_RENT","TOWNHOUSE","","","","","","$7,951","$1,741,800","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$6,000","1141 Florida St, San Francisco, CA 94110","https://www.zillow.com/homedetails/1141-Florida-St-San-Francisco-CA-94110/115876281_zpid/","1141 Florida St","94110","San Francisco","","CA","2","1","1100","2 bds | 1 ba | 1100 sqft","$5.45","Thu, 2026-05-07","37.753735","-122.40989","","FOR_RENT","APARTMENT","","","","","","$4,625","$1,166,400","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$5,895","1327 6th Ave, San Francisco, CA 94122","https://www.zillow.com/homedetails/1327-6th-Ave-San-Francisco-CA-94122/2055944437_zpid/","1327 6th Ave","94122","San Francisco","","CA","2","1","1111","2 bds | 1 ba | 1111 sqft","$5.31","Thu, 2026-05-07","37.76361","-122.463394","","FOR_RENT","APARTMENT","","","","","","$4,360","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$8,500","41 Barcelona Ave, San Francisco, CA 94115","https://www.zillow.com/homedetails/41-Barcelona-Ave-San-Francisco-CA-94115/2063468450_zpid/","41 Barcelona Ave","94115","San Francisco","","CA","3","2","1800","3 bds | 2 ba | 1800 sqft","$4.72","Thu, 2026-05-07","37.78007","-122.44482","","FOR_RENT","CONDO","","","","","","$4,039","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$7,950","922 Valencia St, San Francisco, CA 94110","https://zillow.com/b/922-valencia-st-san-francisco-ca-9NKV3t/","922 Valencia St   # D","94110","San Francisco","","CA","0","","","Studio ","","Thu, 2026-05-07","37.758064","-122.42156","","FOR_RENT","","","","$7,950+ 3 bds","$7,950","$7,950","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$16,000","(undisclosed Address), San Francisco, CA 94110","https://www.zillow.com/homedetails/San-Francisco-CA-94110/15161270_zpid/","(undisclosed Address)","94110","San Francisco","","CA","3","3","1500","3 bds | 3 ba | 1500 sqft","$10.67","Thu, 2026-05-07","","","","FOR_RENT","SINGLE_FAMILY","","","","","","$4,036","$1,606,100","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
